frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
0,1778951890.12,0.76,153.29,18.8,4,"person,chair,bottle,bottle"
1,1778951890.2,11.67,85.03,58.8,5,"person,chair,bottle,chair,bottle"
2,1778951890.29,11.57,85.76,57.6,4,"person,chair,bottle,chair"
3,1778951890.38,11.56,85.87,58.8,5,"person,chair,bottle,chair,bottle"
4,1778951890.46,11.44,86.74,62.2,5,"person,chair,bottle,chair,bottle"
5,1778951890.55,11.52,86.2,60.5,7,"person,chair,bottle,chair,bottle,microwave,bottle"
6,1778951890.64,11.53,86.03,58.8,7,"person,chair,bottle,bottle,microwave,bottle,chair"
7,1778951890.72,11.59,85.62,57.6,9,"chair,person,bottle,bottle,person,microwave,chair,person,bottle"
8,1778951890.81,11.46,86.55,60.0,7,"person,chair,microwave,bottle,bottle,chair,bottle"
9,1778951890.9,11.57,85.78,61.1,7,"person,chair,bottle,microwave,bottle,bottle,bottle"
10,1778951890.98,11.67,85.01,54.8,6,"person,chair,bottle,microwave,bottle,bottle"
11,1778951891.07,11.08,89.58,60.0,6,"person,chair,bottle,bottle,microwave,bottle"
12,1778951891.16,11.51,86.17,58.8,7,"chair,person,bottle,microwave,bottle,bottle,bottle"
13,1778951891.25,11.56,85.86,58.3,8,"chair,microwave,bottle,person,bottle,bottle,bowl,bottle"
14,1778951891.34,11.45,86.64,58.8,6,"chair,microwave,bottle,bottle,bottle,bowl"
15,1778951891.42,11.58,85.75,62.2,6,"chair,bottle,microwave,bottle,bowl,bottle"
16,1778951891.51,11.61,85.45,57.6,8,"chair,bottle,microwave,bowl,bottle,bottle,bottle,chair"
17,1778951891.6,11.55,85.96,57.6,8,"chair,microwave,bottle,bowl,bottle,chair,bottle,bottle"
18,1778951891.68,11.54,85.96,63.2,8,"chair,microwave,bottle,bottle,bowl,bottle,bottle,chair"
19,1778951891.77,11.62,85.45,56.2,8,"chair,bottle,microwave,bowl,bottle,bottle,chair,bottle"
20,1778951891.86,11.57,85.8,55.9,8,"chair,microwave,bottle,bowl,bottle,chair,bottle,bottle"
21,1778951891.94,11.51,86.11,62.2,6,"chair,microwave,bottle,bowl,bottle,bottle"
22,1778951892.03,11.59,85.65,54.8,6,"chair,microwave,bottle,bowl,bottle,bottle"
23,1778951892.12,11.43,86.84,57.6,8,"chair,bottle,microwave,bottle,bowl,bottle,chair,bottle"
24,1778951892.2,11.5,86.3,57.6,6,"chair,microwave,bottle,bottle,bowl,bottle"
25,1778951892.29,11.61,85.5,63.2,6,"chair,microwave,bottle,bottle,bottle,bottle"
26,1778951892.38,11.49,86.37,54.5,6,"chair,microwave,bottle,bottle,bottle,bottle"
27,1778951892.47,11.47,86.51,56.3,7,"chair,microwave,bottle,person,bottle,bottle,bottle"
28,1778951892.55,11.49,86.33,62.2,7,"chair,microwave,person,bottle,bottle,bottle,bottle"
29,1778951892.64,11.42,86.96,57.6,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
30,1778951892.73,11.62,85.37,58.8,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
31,1778951892.81,11.77,84.35,58.8,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
32,1778951892.9,11.65,85.21,61.1,6,"chair,microwave,person,bottle,bottle,bottle"
33,1778951892.98,11.79,84.24,54.8,7,"chair,person,microwave,bottle,bottle,bottle,chair"
34,1778951893.07,11.56,85.87,61.1,8,"person,chair,microwave,bottle,bottle,bottle,bottle,chair"
35,1778951893.15,11.77,84.36,61.8,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
36,1778951893.24,11.86,83.69,56.3,8,"person,microwave,chair,bottle,bottle,bottle,bottle,chair"
37,1778951893.32,11.82,84.01,60.0,7,"person,microwave,chair,bottle,bottle,bottle,bottle"
38,1778951893.41,11.79,84.22,61.1,8,"person,chair,microwave,bottle,bottle,bottle,bottle,chair"
39,1778951893.49,11.73,84.62,58.8,8,"person,chair,microwave,bottle,bottle,bottle,chair,bottle"
40,1778951893.58,11.62,85.37,56.3,6,"person,chair,microwave,bottle,bottle,bottle"
41,1778951893.67,11.62,85.39,60.0,8,"person,chair,microwave,bottle,bottle,bottle,bottle,chair"
42,1778951893.75,11.77,84.28,61.1,6,"person,chair,bottle,microwave,bottle,bottle"
43,1778951893.84,11.63,85.41,56.3,6,"chair,person,bottle,microwave,bottle,bottle"
44,1778951893.92,11.68,85.04,54.8,6,"person,chair,bottle,microwave,bottle,bottle"
45,1778951894.01,11.46,86.59,56.2,5,"chair,person,microwave,bottle,bottle"
46,1778951894.1,11.71,84.78,63.9,7,"chair,microwave,chair,bottle,person,bottle,bottle"
47,1778951894.18,11.72,84.73,57.6,7,"chair,microwave,bottle,person,chair,bottle,bottle"
48,1778951894.27,11.82,83.97,58.8,6,"chair,microwave,chair,bottle,bottle,bottle"
49,1778951894.35,11.69,84.95,63.2,7,"chair,microwave,bottle,chair,person,bottle,bottle"
50,1778951894.44,11.88,83.55,56.2,7,"chair,bottle,chair,person,microwave,bottle,bottle"
51,1778951894.52,11.78,84.33,60.6,7,"chair,microwave,chair,bottle,person,bottle,bottle"
52,1778951894.61,11.82,83.98,58.8,6,"chair,bottle,person,microwave,chair,bottle"
53,1778951894.69,11.77,84.36,62.2,6,"chair,microwave,bottle,chair,bottle,bottle"
54,1778951894.78,11.7,84.87,57.6,8,"chair,microwave,bottle,person,chair,bottle,bottle,bottle"
55,1778951894.86,11.8,84.15,56.3,7,"chair,bottle,microwave,bottle,chair,bottle,person"
56,1778951894.95,11.76,84.42,63.2,6,"chair,microwave,bottle,chair,bottle,bottle"
57,1778951895.04,11.3,87.87,61.8,7,"chair,bottle,microwave,chair,bottle,bottle,bottle"
58,1778951895.13,11.07,89.68,57.6,6,"chair,microwave,bottle,chair,bottle,person"
59,1778951895.21,11.72,84.76,60.0,7,"chair,microwave,bottle,chair,bottle,person,bottle"
60,1778951895.3,11.79,84.17,56.3,8,"chair,microwave,chair,bottle,bottle,person,bottle,bottle"
61,1778951895.38,11.84,83.85,62.9,7,"chair,microwave,bottle,chair,person,bottle,bottle"
62,1778951895.47,11.63,85.37,63.2,7,"chair,microwave,person,bottle,chair,bottle,bottle"
63,1778951895.55,11.83,83.93,56.3,7,"chair,microwave,bottle,chair,person,bottle,bottle"
64,1778951895.64,11.66,85.12,58.8,8,"chair,microwave,person,bottle,chair,bottle,bottle,bottle"
65,1778951895.73,11.73,84.65,57.6,8,"chair,microwave,bottle,person,chair,bottle,bottle,bottle"
66,1778951895.81,11.8,84.12,58.8,7,"chair,microwave,person,bottle,chair,bottle,bottle"
67,1778951895.9,11.81,84.08,60.0,6,"person,chair,bottle,microwave,bottle,bottle"
68,1778951895.98,11.78,84.27,61.1,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
69,1778951896.07,11.19,88.76,62.9,6,"person,chair,microwave,bottle,bottle,bottle"
70,1778951896.16,11.75,84.51,56.3,6,"person,chair,microwave,bottle,bottle,bottle"
71,1778951896.24,11.5,86.35,62.2,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
72,1778951896.33,11.53,86.06,59.5,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
73,1778951896.42,11.83,83.91,61.8,6,"person,chair,microwave,bottle,bottle,bottle"
74,1778951896.5,11.81,84.08,56.2,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
75,1778951896.59,11.78,84.35,63.2,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
76,1778951896.67,11.72,84.67,56.3,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
77,1778951896.76,11.6,85.6,60.0,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
78,1778951896.84,11.74,84.54,58.8,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
79,1778951896.93,11.85,83.79,60.0,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
80,1778951897.01,11.63,85.42,58.8,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
81,1778951897.1,11.66,85.2,57.6,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
82,1778951897.18,11.77,84.39,57.6,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
83,1778951897.27,11.65,85.26,57.6,7,"chair,microwave,person,bottle,bottle,bottle,bottle"
84,1778951897.36,11.83,83.93,58.8,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
85,1778951897.44,11.79,84.27,60.0,7,"chair,person,microwave,bottle,bottle,bottle,bottle"
86,1778951897.53,11.74,84.59,58.8,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
87,1778951897.61,11.83,83.94,58.1,8,"person,microwave,chair,bottle,bottle,bottle,bottle,chair"
88,1778951897.7,11.73,84.68,54.8,6,"person,chair,microwave,bottle,bottle,bottle"
89,1778951897.78,11.71,84.8,60.0,7,"chair,microwave,person,bottle,bottle,bottle,bottle"
90,1778951897.87,11.8,84.13,57.6,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
91,1778951897.95,11.81,84.07,58.8,6,"person,chair,bottle,microwave,bottle,bottle"
92,1778951898.04,11.66,85.15,58.8,6,"person,chair,bottle,bottle,microwave,bottle"
93,1778951898.12,11.69,84.96,58.8,7,"person,chair,bottle,microwave,bottle,bottle,bottle"
94,1778951898.21,11.62,85.43,60.0,7,"person,chair,bottle,microwave,bottle,bottle,bottle"
95,1778951898.29,11.84,83.86,56.2,5,"person,chair,bottle,microwave,bottle"
96,1778951898.38,11.7,84.88,57.6,8,"person,chair,bottle,microwave,bottle,bottle,bottle,chair"
97,1778951898.47,11.78,84.33,60.0,6,"person,chair,bottle,bottle,chair,bottle"
98,1778951898.55,11.77,84.34,59.4,4,"person,chair,bottle,bottle"
99,1778951898.63,11.88,83.57,60.0,5,"person,chair,bottle,bottle,bottle"
